,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"September 25, 2016 - October 1, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
27-Sep Tue,USD,USD Consumer Confidence,14:00,10:00,99.00,101.80
28-Sep Wed,USD,USD Durable Goods Orders,12:30,08:30,-1.50%,3.60%
,USD,USD Fed's Chair Yellen Testifies Before House Panel ,14:00,10:00,,
29-Sep Thu,EUR,EUR German Unemployment Change,07:55,03:55,-5k,-6k
,EUR,EUR German Unemployment Rate s.a.,07:55,03:55,6.10%,6.10%
,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.60%,0.40%
,JPY,JPY National Consumer Price Index (YoY),23:30,19:30,-0.50%,-0.40%
30-Sep Fri,EUR,EUR Euro-Zone Consumer Price Index Estimate (YoY),09:00,05:00,0.40%,0.20%
,EUR,EUR Euro-Zone Consumer Price Index - Core (YoY),09:00,05:00,0.90%,0.80%
,CAD,CAD Gross Domestic Product (YoY),12:30,08:30,1.00%,1.20%
,USD,USD Fed's Kaplan Speaks in Dallas ,17:00,13:00,,
,CNY,CNY Manufacturing PMI,01:00,21:00,50.50,50.40
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
