,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"March 27, 2016 - April 1, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,2.00%,,NZD,2.25%,EUR,0.05%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
28-Mar Mon,USD,USD Advance Goods Trade Balance,12:30,08:30,-$62.200b,-$62.398b
,USD,USD Personal Consumption Expenditure Core (YoY),12:30,08:30,1.80%,1.70%
29-Mar Tue,USD,USD Consumer Confidence,14:00,10:00,94.00,94.00
,USD,US Fed Chair Janet Yellen Speaks to Economic Club of New York,15:30,11:30,,
30-Mar Wed,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.10%,0.00%
31-Mar Thu,EUR,EUR German Unemployment Rate s.a.,07:55,03:55,6.20%,6.20%
,EUR,EUR German Unemployment Change,07:55,03:55,-6k,-9k
,EUR,EUR Euro-Zone Consumer Price Index Estimate (YoY),09:00,05:00,-0.10%,-0.20%
,EUR,EUR Euro-Zone Consumer Price Index - Core (YoY),09:00,05:00,0.90%,0.80%
,CAD,CAD Gross Domestic Product (YoY),12:30,08:30,1.10%,0.60%
,CNY,CNY Manufacturing PMI,01:00,21:00,49.30,49.00
,CNY,CNY Non-manufacturing PMI,01:00,21:00,,52.70
1-Apr Fri,USD,USD Change in Nonfarm Payrolls,12:30,08:30,205k,242k
,USD,USD Unemployment Rate,12:30,08:30,4.90%,4.90%
,USD,USD ISM Manufacturing,14:00,10:00,50.70,49.50
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
