,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"May 15, 2016 - May 20, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
17-May Tue,GBP,GBP Core Consumer Price Index (YoY),08:30,04:30,1.40%,1.50%
,GBP,GBP Consumer Price Index (YoY),08:30,04:30,0.50%,0.50%
,NZD,NZD Dairy Auction Whole Milk Powder MT,12:00,08:00,,"$2,176 "
,NZD,NZD Dairy Auction Avg. Winning Price MT,12:00,08:00,,"$2,203 "
,USD,USD Consumer Price Index Ex Food & Energy (YoY),12:30,08:30,2.10%,2.20%
,USD,USD Consumer Price Index (YoY),12:30,08:30,1.10%,0.90%
,JPY,JPY Gross Domestic Product Annualized,23:50,19:50,0.30%,-1.70%
,JPY,JPY Nominal Gross Domestic Product (QoQ),23:50,19:50,0.50%,-0.20%
18-May Wed,JPY,JPY G-7 Finance Ministers & Central Bank Governors Meet in Japan,,,,
,AUD,AUD Employment Change,01:30,21:30,12.0k,25.7k
,AUD,AUD Unemployment Rate,01:30,21:30,5.80%,5.70%
20-May Fri,CAD,CAD Consumer Price Index (YoY),12:30,08:30,1.70%,1.30%
,CAD,CAD Bank Canada Consumer Price Index Core (YoY),12:30,08:30,2.00%,2.10%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
