,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"May 29, 2016 - June 3, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
30-May Mon,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.10%,-0.10%
31-May Tue,EUR,EUR German Unemployment Change,07:55,03:55,-5k,-16k
,EUR,EUR German Unemployment Rate s.a.,07:55,03:55,6.20%,6.20%
,EUR,EUR Euro-Zone Consumer Price Index Estimate (YoY),09:00,05:00,-0.10%,-0.20%
,EUR,EUR Euro-Zone Consumer Price Index - Core (YoY),09:00,05:00,0.80%,0.70%
,CAD,CAD Gross Domestic Product (YoY) (MAR),12:30,08:30,1.40%,1.40%
,CAD,CAD Quarterly Gross Domestic Product Annualized,12:30,08:30,2.80%,0.80%
,USD,USD Personal Consumption Expenditure Core (YoY),12:30,08:30,1.60%,1.60%
,USD,USD Consumer Confidence,14:00,10:00,96.10,94.70
,CNY,CNY Manufacturing PMI,01:00,21:00,50.00,50.10
,AUD,AUD Gross Domestic Product (YoY),01:30,21:30,2.80%,3.00%
1-Jun Wed,CHF,CHF Gross Domestic Product (YoY),05:45,01:45,0.90%,0.30%
,USD,USD ISM Manufacturing,14:00,10:00,50.40,50.80
,NZD,NZD Dairy Auction Whole Milk Powder MT,14:43,10:43,,"$2,252 "
,NZD,NZD Dairy Auction Avg. Winning Price MT,14:43,10:43,,"$2,283 "
2-Jun Thu,EUR,EUR European Central Bank Rate Decision,11:45,07:45,0.00%,0.00%
,EUR,"EUR ECB's Governing Council Reviews Rates, Draghi Speaks to Press ",12:30,08:30,,
3-Jun Fri,USD,USD Unemployment Rate,12:30,08:30,4.90%,5.00%
,USD,USD Change in Non-farm Payrolls,12:30,08:30,160K,123K
,USD,USD ISM Non-Manufacutring Composite,14:00,10:00,55.40,55.70
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
