,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"October 16, 2016 - October 21, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
17-Oct Mon,NZD,NZD Consumer Prices Index (YoY),21:45,17:45,0.10%,0.40%
18-Oct Tue,GBP,GBP Consumer Price Index (YoY),08:30,04:30,0.90%,0.60%
,NZD,NZD Dairy Auction Avg. Winning Price MT,12:00,08:00,,"$2,880 "
,NZD,NZD Dairy Auction Whole Milk Powder MT,12:00,08:00,,"$2,681 "
,USD,USD Consumer Price Index (YoY),12:30,08:30,1.50%,1.10%
,USD,USD Consumer Price Index Ex Food & Energy (YoY),12:30,08:30,2.30%,2.30%
,CNY,CNY GDP SA (QoQ),02:00,22:00,1.80%,1.80%
,CNY,CNY GDP YTD (YoY),02:00,22:00,6.70%,6.70%
,CNY,CNY GDP (YoY),02:00,22:00,6.70%,6.70%
19-Oct Wed,CAD,CAD Bank of Canada Releases Monetary Policy Report,14:00,10:00,,
,CAD,CAD Bank of Canada Rate Decision,14:00,10:00,0.50%,0.50%
,AUD,AUD Unemployment Rate,00:30,20:30,5.70%,5.70%
,AUD,AUD Employment Change,00:30,20:30,15.0K,-8.6k
20-Oct Thu,EUR,EUR European Central Bank Rate Decision,11:45,07:45,0.00%,0.00%
,EUR,EUR ECB Deposit Facility Rate,11:45,07:45,-0.40%,-0.40%
,EUR,EUR ECB Marginal Lending Facility,11:45,07:45,0.25%,0.25%
,EUR,EUR ECB Asset Purchase Target,11:45,07:45,EU80b,EU80b
21-Oct Fri,CAD,CAD Consumer Price Index (YoY),12:30,08:30,1.40%,1.10%
,CAD,CAD Bank Canada Consumer Price Index Core (YoY),12:30,08:30,1.80%,1.80%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
