,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"August 28, 2016 - September 3, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
30-Aug Tue,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.50%,0.40%
,USD,USD Consumer Confidence,14:00,10:00,97.00,96.70
31-Aug Wed,EUR,EUR German Unemployment Change,07:55,03:55,-4k,-8k
,EUR,EUR German Unemployment Rate s.a.,07:55,03:55,6.10%,6.10%
,EUR,EUR Euro-Zone Consumer Price Index Estimate (YoY),09:00,05:00,0.30%,0.20%
,EUR,EUR Euro-Zone Consumer Price Index - Core (YoY),09:00,05:00,0.90%,0.90%
,CAD,CAD Gross Domestic Product (YoY),12:30,08:30,1.00%,1.00%
,CAD,CAD Quarterly Gross Domestic Product Annualized,12:30,08:30,-1.50%,2.50%
,CNY,CNY Manufacturing PMI,01:00,21:00,49.90,49.90
,CNY,CNY Non-manufacturing PMI,01:00,21:00,,53.90
1-Sep Thu,USD,USD ISM Manufacturing,14:00,10:00,52.00,52.60
2-Sep Fri,USD,USD Change in Non-farm Payrolls,12:30,08:30,180k,275k
,USD,USD Unemployment Rate,12:30,08:30,4.80%,4.90%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
