,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"May 1, 2016 - May 7, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
30-Apr Sat,CNY,CNY Manufacturing PMI,01:00,21:00,50.30,50.20
2-May Mon,USD,USD ISM Manufacturing,14:00,10:00,51.40,51.80
3-May Tue,AUD,AUD Reserve Bank of Australia Rate Decision,04:30,00:30,2.00%,2.00%
,NZD,NZD Dairy Auction Avg. Winning Price MT,12:00,08:00,,"$2,263 "
,NZD,NZD Dairy Auction Whole Milk Powder MT,12:00,08:00,,"$2,156 "
,NZD,NZD Unemployment Rate,22:45,18:45,5.50%,5.40%
,NZD,NZD Employment Change (YoY),22:45,18:45,1.30%,1.40%
4-May Wed,USD,USD ISM Non-Manufacturing/Services Composite,14:00,10:00,54.80,54.50
6-May Fri,CAD,CAD Net Change in Employment,12:30,08:30,1.0k,40.6k
,CAD,CAD Unemployment Rate,12:30,08:30,7.20%,7.10%
,USD,USD Unemployment Rate,12:30,08:30,4.90%,5.00%
,USD,USD Change in Non-farm Payrolls,12:30,08:30,200k,215k
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
