,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"April 17, 2016 - April 22, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,2.00%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
17-Apr Sun,NZD,NZD Consumer Prices Index (YoY),22:45,18:45,0.40%,0.10%
19-Apr Tue,EUR,EUR Euro-Zone ZEW Survey (Economic Sentiment),09:00,05:00,,10.60
,NZD,NZD Dairy Auction Avg. Winning Price MT,14:11,10:11,,"$2,188.00"
,NZD,NZD Dairy Auction Whole Milk Powder MT,14:11,10:11,,"$2,013.00"
21-Apr Thu,EUR,EUR European Central Bank Rate Decision,11:45,07:45,0.00%,0.00%
,EUR,EUR ECB Deposit Facility Rate,11:45,07:45,-0.40%,-0.40%
,EUR,EUR ECB Marginal Lending Facility,11:45,07:45,0.25%,0.25%
,EUR,EUR ECB's Draghi Holds Post Policy Meeting Press Conference,12:30,08:30,,
22-Apr Fri,CAD,CAD Bank Canada Consumer Price Index Core (YoY),12:30,08:30,1.70%,1.90%
,CAD,CAD Consumer Price Index (YoY),12:30,08:30,1.20%,1.40%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
