,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"October 23, 2016 - October 28, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
25-Oct Tue,USD,USD Consumer Confidence,14:00,10:00,101.00,103.50
,AUD,AUD Consumer Prices Index (YoY),00:30,20:30,1.10%,1.00%
26-Oct Wed,USD,USD Advance Goods Trade Balance,12:30,08:30,-$60.5b,-$59.2b
27-Oct Thu,GBP,GBP Gross Domestic Product (YoY),08:30,04:30,2.10%,2.10%
,USD,USD Durable Goods Orders,12:30,08:30,0.10%,0.30%
,JPY,JPY National Consumer Price Index (YoY),23:30,19:30,-0.50%,-0.50%
28-Oct Fri,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.80%,0.70%
,USD,USD Gross Domestic Product (Annualized),12:30,08:30,2.60%,1.40%
,USD,USD Personal Consumption,12:30,08:30,2.60%,4.30%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
