,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"June 12, 2016 - June 18, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
14-Jun Tue,GBP,GBP Core Consumer Price Index (YoY),08:30,04:30,1.30%,1.20%
,GBP,GBP Consumer Price Index (YoY),08:30,04:30,0.40%,0.30%
,USD,USD Advance Retail Sales,12:30,08:30,0.30%,1.30%
15-Jun Wed,CNY,CNY New Yuan Loans CNY,08:04,04:04,750.0b,555.6b
,NZD,NZD Dairy Auction Whole Milk Powder MT,12:00,08:00,,"$2,205 "
,NZD,NZD Dairy Auction Avg. Winning Price MT,12:00,08:00,,"$2,329 "
,USD,USD Federal Open Market Committee Rate Decision,18:00,14:00,0.50%,0.50%
,USD,USD FOMC Rate Decision (Lower Bound),18:00,14:00,0.25%,0.25%
,USD,USD Fed Summary of Economic Projections,18:00,14:00,,
,NZD,NZD Gross Domestic Product (YoY),22:45,18:45,2.60%,2.30%
,AUD,AUD Unemployment Rate,01:30,21:30,5.70%,5.70%
,AUD,AUD Employment Change,01:30,21:30,15.0k,0.8k
,JPY,JPY BOJ Basic Balance Rate,02:45,22:45,,0.10%
,JPY,JPY BOJ Macro Add-On Balance Rate,02:45,22:45,,0.00%
,JPY,JPY BOJ Policy Rate,02:45,22:45,,-0.10%
16-Jun Thu,CHF,CHF SNB Sight Deposit Interest Rate,07:30,03:30,-0.75%,-0.75%
,CHF,CHF SNB 3-Month Libor Lower Target Range,07:30,03:30,-1.25%,-1.25%
,CHF,CHF SNB 3-Month Libor Upper Target Range,07:30,03:30,-0.25%,-0.25%
,GBP,GBP Bank of England Rate Decision,11:00,07:00,0.50%,0.50%
,GBP,GBP BOE Asset Purchase Target,11:00,07:00,375b,375b
,USD,USD Consumer Price Index (YoY),12:30,08:30,1.10%,1.10%
,USD,USD Consumer Price Index Ex Food & Energy (YoY),12:30,08:30,2.20%,2.10%
17-Jun Fri,CAD,CAD Consumer Price Index (YoY),12:30,08:30,1.60%,1.70%
,CAD,CAD Bank Canada Consumer Price Index Core (YoY),12:30,08:30,2.10%,2.20%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
