,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"April 24, 2016 - April 29, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,2.00%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
26-Apr Tue,USD,USD Durable Goods Orders,12:30,08:30,1.90%,-3.00%
,USD,USD Consumer Confidence,14:00,10:00,96.00,96.20
,AUD,AUD Consumer Prices Index (YoY),01:30,21:30,1.70%,1.70%
27-Apr Wed,GBP,GBP Gross Domestic Product (YoY),08:30,04:30,2.00%,2.10%
,USD,USD Federal Open Market Committee Rate Decision,18:00,14:00,0.50%,0.50%
,USD,USD FOMC Rate Decision (Lower Bound),18:00,14:00,0.25%,0.25%
,NZD,NZD Reserve Bank of New Zealand Rate Decision,21:00,17:00,2.25%,2.25%
,JPY,JPY National Consumer Price Index (YoY),23:30,19:30,0.00%,0.30%
,JPY,JPY BOJ Basic Balance Rate,03:01,23:01,0.10%,0.10%
,JPY,JPY BOJ Macro Add-On Balance Rate,03:01,23:01,0.00%,0.00%
,JPY,JPY BOJ Policy Rate,03:01,23:01,-0.10%,-0.10%
28-Apr Thu,EUR,EUR German Unemployment Change,07:55,03:55,0k,-2k
,EUR,EUR German Unemployment Rate s.a.,07:55,03:55,6.20%,6.20%
,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.10%,0.30%
,USD,USD Personal Consumption,12:30,08:30,1.70%,2.40%
,USD,USD Gross Domestic Product (Annualized),12:30,08:30,0.70%,1.40%
29-Apr Fri,CHF,CHF SNB's Thomas Jordan Speaks at Annual General Meeting in Bern,08:00,04:00,,
,EUR,EUR Euro-Zone Consumer Price Index Estimate (YoY),09:00,05:00,-0.10%,-0.10%
,EUR,EUR Euro-Zone Gross Domestic Product s.a. (YoY),09:00,05:00,1.40%,1.60%
,EUR,EUR Euro-Zone Consumer Price Index - Core (YoY),09:00,05:00,0.90%,1.00%
,CAD,CAD Gross Domestic Product (YoY),12:30,08:30,1.50%,1.60%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
