,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"December 11, 2016 - December 16, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
13-Dec Tue,GBP,GBP Consumer Price Index (YoY),09:30,04:30,1.10%,0.90%
,GBP,GBP Core Consumer Price Index (YoY),09:30,04:30,1.30%,1.20%
,EUR,EUR Euro-Zone ZEW Survey (Economic Sentiment),10:00,05:00,,15.80
14-Dec Wed,USD,USD Advance Retail Sales,13:30,08:30,0.30%,0.80%
,USD,USD Federal Open Market Committee Rate Decision,19:00,14:00,0.75%,0.50%
,USD,USD FOMC Rate Decision (Lower Bound),19:00,14:00,0.50%,0.25%
,USD,USD Fed Summary of Economic Projections,19:00,14:00,,
,AUD,AUD Employment Change,00:30,19:30,17.5k,9.8k
,AUD,AUD Unemployment Rate,00:30,19:30,5.60%,5.60%
15-Dec Thu,CHF,CHF SNB 3-Month Libor Lower Target Range,08:30,03:30,-1.25%,-1.25%
,CHF,CHF SNB 3-Month Libor Upper Target Range,08:30,03:30,-0.25%,-0.25%
,CHF,CHF SNB Sight Deposit Interest Rate,08:30,03:30,-0.75%,-0.75%
,GBP,GBP Bank of England Rate Decision,12:00,07:00,0.25%,0.25%
,GBP,GBP BOE Asset Purchase Target,12:00,07:00,435b,435b
,USD,USD Consumer Price Index (YoY),13:30,08:30,1.70%,1.60%
,USD,USD Consumer Price Index Ex Food & Energy (YoY),13:30,08:30,2.10%,2.10%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
