,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"July 17, 2016 - July 23, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
19-Jul Tue,GBP,GBP Consumer Price Index (YoY),08:30,04:30,0.40%,0.30%
,GBP,GBP Core Consumer Price Index (YoY),08:30,04:30,1.30%,1.20%
,NZD,NZD Dairy Auction Avg. Winning Price MT,12:00,08:00,,"$2,345 "
,NZD,NZD Dairy Auction Whole Milk Powder MT,12:00,08:00,,"$2,062 "
20-Jul Wed,NZD,NZD RBNZ Update On Its Economic Assessment,21:00,17:00,,
21-Jul Thu,EUR,EUR European Central Bank Rate Decision,11:45,07:45,0.00%,0.00%
,EUR,EUR ECB Deposit Facility Rate,11:45,07:45,-0.40%,-0.40%
,EUR,EUR ECB Marginal Lending Facility,11:45,07:45,0.25%,0.25%
,EUR,EUR ECB President Draghi Speaks,12:30,08:30,,
22-Jul Fri,GBP,GBP Markit UK PMI Manufacturing SA,08:30,04:30,47.50,52.10
,CAD,CAD Consumer Price Index (YoY),12:30,08:30,1.40%,1.50%
,CAD,CAD Retail Sales (MoM),12:30,08:30,0.00%,0.80%
,CAD,CAD Bank Canada Consumer Price Index Core (YoY),12:30,08:30,2.00%,2.10%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
