,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"July 10, 2016 - July 15, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
12-Jul Tue,GBP,BOE Publishes Record of FPC Meeting,08:30,04:30,,
,GBP,Carney Speaks on Financial Stability in Parliament ,09:00,05:00,,
13-Jul Wed,USD,USD Import Price Index (YoY),12:30,08:30,-4.60%,-5.00%
,CAD,CAD Bank of Canada Rate Decision,14:00,10:00,0.50%,0.50%
,CAD,CAD Bank of Canada Releases Monetary Policy Report,14:00,10:00,,
,AUD,AUD Employment Change,01:30,21:30,10.0k,19.2k
,AUD,AUD Unemployment Rate,01:30,21:30,5.80%,5.70%
14-Jul Thu,GBP,GBP Bank of England Rate Decision,11:00,07:00,0.25%,0.50%
,GBP,GBP BOE Asset Purchase Target,11:00,07:00,375b,375b
,CNY,CNY GDP YTD (YoY),02:00,22:00,6.60%,6.70%
,CNY,CNY GDP SA (QoQ),02:00,22:00,1.60%,1.20%
,CNY,CNY GDP (YoY),02:00,22:00,6.60%,6.70%
15-Jul Fri,USD,USD Advance Retail Sales,12:30,08:30,0.10%,0.20%
,USD,USD Consumer Price Index (YoY),12:30,08:30,1.10%,1.00%
,USD,USD Consumer Price Index Ex Food & Energy (YoY),12:30,08:30,2.20%,2.20%
,USD,USD U. of Michigan Confidence,14:00,10:00,93.50,93.50
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
