,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"September 18, 2016 - September 24, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
19-Sep Mon,NZD,NZD Dairy Auction Whole Milk Powder MT,,,,"$2,793 "
,NZD,NZD Dairy Auction Avg. Winning Price MT,,,,"$2,920 "
20-Sep Tue,JPY,JPY BOJ Policy Rate,,,-0.10%,-0.10%
,JPY,JPY BOJ Macro Add-On Balance Rate,,,,0.00%
,JPY,JPY BOJ Basic Balance Rate,,,,0.10%
21-Sep Wed,JPY,JPY BOJ governor press conference,06:30,02:30,,
,USD,USD FOMC Rate Decision (Lower Bound),18:00,14:00,0.25%,0.25%
,USD,USD Fed Summary of Economic Projections,18:00,14:00,,
,USD,USD FOMC Rate Decision (Upper Bound),18:00,14:00,0.50%,0.50%
,NZD,NZD Reserve Bank of New Zealand Rate Decision,21:00,17:00,2.00%,2.00%
23-Sep Fri,CAD,CAD Bank Canada Consumer Price Index Core (YoY),12:30,08:30,2.00%,2.10%
,CAD,CAD Consumer Price Index (YoY),12:30,08:30,1.40%,1.30%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
