,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"September 4, 2016 - September 10, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
6-Sep Tue,AUD,AUD Reserve Bank of Australia Rate Decision,04:30,00:30,1.50%,1.50%
,CHF,CHF Gross Domestic Product (YoY),05:45,01:45,0.80%,1.10%
,USD,USD ISM Non-Manufacturing/Services Composite,14:00,10:00,54.90,55.50
,NZD,NZD Dairy Auction Whole Milk Powder MT,14:22,10:22,,"$2,695 "
,NZD,NZD Dairy Auction Avg. Winning Price MT,14:22,10:22,,"$2,731 "
,AUD,AUD Gross Domestic Product (YoY),01:30,21:30,3.30%,3.00%
7-Sep Wed,CAD,CAD Bank of Canada Rate Decision,14:00,10:00,0.50%,0.50%
8-Sep Thu,EUR,EUR ECB Deposit Facility Rate,11:45,07:45,-0.40%,-0.40%
,EUR,EUR ECB Marginal Lending Facility,11:45,07:45,0.25%,0.25%
,EUR,EUR European Central Bank Rate Decision,11:45,07:45,0.00%,0.00%
,EUR,EUR ECB President Draghi Holds Press Conference,12:30,08:30,,
,CNY,CNY Consumer Price Index (YoY),01:30,21:30,1.70%,1.80%
9-Sep Fri,CAD,CAD Unemployment Rate,12:30,08:30,7.00%,6.90%
,CAD,CAD Net Change in Employment,12:30,08:30,14.0k,-31.2k
,CNY,CNY New Yuan Loans CNY,,,,463.6b
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
