,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"July 24, 2016 - July 29, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
26-Jul Tue,USD,USD Consumer Confidence,14:00,10:00,96.00,97.40
,AUD,AUD Consumer Prices Index (YoY),01:30,21:30,1.10%,1.30%
,AUD,AUD Consumer Prices Index RBA Trimmed Mean (YoY),01:30,21:30,1.50%,1.70%
27-Jul Wed,GBP,GBP Gross Domestic Product (YoY),08:30,04:30,2.10%,2.00%
,USD,USD Durable Goods Orders,12:30,08:30,-1.40%,-2.80%
,USD,USD FOMC Rate Decision (Upper Bound),18:00,14:00,0.50%,0.50%
,USD,USD FOMC Rate Decision (Lower Bound),18:00,14:00,0.25%,0.25%
28-Jul Thu,EUR,EUR German Unemployment Rate s.a.,07:55,03:55,6.10%,6.10%
,EUR,EUR German Unemployment Change,07:55,03:55,-4k,-6k
,EUR,EUR German Consumer Price Index (YoY),12:00,08:00,0.30%,0.30%
,JPY,JPY National Consumer Price Index (YoY),23:30,19:30,-0.40%,-0.40%
,JPY,JPY BOJ Policy Rate,03:44,23:44,-0.15%,-0.10%
,JPY,JPY BOJ Basic Balance Rate,03:44,23:44,,0.10%
,JPY,JPY BOJ Macro Add-On Balance Rate,03:44,23:44,,0.00%
29-Jul Fri,EUR,EUR Euro-Zone Gross Domestic Product s.a. (YoY),09:00,05:00,1.50%,1.70%
,USD,USD Personal Consumption,12:30,08:30,4.40%,1.60%
,CAD,CAD Gross Domestic Product (MoM),12:30,08:30,-0.50%,0.10%
,CAD,CAD Gross Domestic Product (YoY),12:30,08:30,1.20%,1.50%
,USD,USD Personal Consumption,12:30,08:30,4.40%,1.60%
,USD,USD Gross Domestic Product (Annualized),12:30,08:30,2.50%,0.80%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
