,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"August 7, 2016 - August 12, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
8-Aug Mon,CNY,CNY Consumer Price Index (YoY),01:30,21:30,1.80%,1.90%
10-Aug Wed,NZD,NZD Reserve Bank of New Zealand Rate Decision,21:00,17:00,2.00%,2.25%
12-Aug Fri,EUR,EUR German Gross Domestic Product w.d.a. (YoY),06:00,02:00,1.40%,1.90%
,EUR,EUR German Gross Domestic Product n.s.a. (YoY),06:00,02:00,2.80%,1.50%
,EUR,EUR Italian Gross Domestic Product s.a. and w.d.a. (YoY),08:00,04:00,0.80%,1.00%
,CNY,CNY Aggregate Financing CNY,08:08,04:08,1024.0b,1630.0b
,CNY,CNY New Yuan Loans CNY,08:08,04:08,900.0b,1380.0b
,EUR,EUR Euro-Zone Gross Domestic Product s.a. (YoY),09:00,05:00,1.60%,1.60%
,USD,USD Advance Retail Sales,12:30,08:30,0.40%,0.80%
,USD,USD U. of Michigan Confidence,14:00,10:00,91.50,90.00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
