,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"November 20, 2016 - November 25, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
23-Nov Wed,GBP,GBP U.K. Autumn Budget Statement,12:30,07:30,,
,USD,USD Durable Goods Orders,13:30,08:30,0.80%,-0.30%
,USD,USD U.S. Fed Releases Minutes from November 1-2 FOMC Meeting,19:00,14:00,,
24-Nov Thu,JPY,JPY National Consumer Price Index (YoY),23:30,18:30,,-0.50%
25-Nov Fri,GBP,GBP Gross Domestic Product (YoY),09:30,04:30,,2.30%
25-Nov Fri,USD,USD Advance Goods Trade Balance,13:30,08:30,-$58.0b,-$56.1b
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
