,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"May 22, 2016 - May 27, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
24-May Tue,GBP,"GBP BOE's Carney, Broadbent, Weale, and Vlieghe in Parliament",09:00,05:00,,
25-May Wed,CAD,CAD Bank of Canada Rate Decision,14:00,10:00,0.50%,0.50%
26-May Thu,GBP,GBP Gross Domestic Product (YoY),08:30,04:30,2.10%,2.10%
,USD,USD Durable Goods Orders,12:30,08:30,0.50%,1.90%
,JPY,JPY National Consumer Price Index (YoY),23:30,19:30,-0.40%,-0.10%
27-May Fri,USD,USD Gross Domestic Product (Annualized),12:30,08:30,0.90%,0.50%
,USD,USD Fed's Yellen to Speak at Harvard's Radcliffe Day,17:15,13:15,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
