,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"November 6, 2016 - November 11, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
8-Nov Tue,CNY,CNY Consumer Price Index (YoY),01:30,20:30,2.10%,1.90%
9-Nov Wed,NZD,NZD Reserve Bank of New Zealand Rate Decision (NOV 10),20:00,15:00,1.75%,2.00%
11-Nov Fri,USD,USD U. of Michigan Confidence,15:00,10:00,87.00,87.20
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
