,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"December 18, 2016 - December 24, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
19-Dec Mon,JPY,JPY BOJ Monetary Policy Statement,,,,
,JPY,JPY BOJ Policy Rate,,,,-0.10%
20-Dec Tue,JPY,JPY BOJ governor press conference,06:30,01:30,,
21-Dec Wed,NZD,NZD Gross Domestic Product (YoY),21:45,16:45,,3.60%
22-Dec Thu,USD,USD Gross Domestic Product (Annualized),13:30,08:30,3.30%,3.20%
,USD,USD Durable Goods Orders,13:30,08:30,-3.50%,4.60%
,CAD,CAD Consumer Price Index (YoY),13:30,08:30,,1.50%
23-Dec Fri,CAD,CAD Gross Domestic Poduct (YoY),13:30,08:30,,1.90%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
