,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"October 2, 2016 - October 8, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.50%,,NZD,2.00%,EUR,0.00%
CAD,0.50%,,GBP,0.25%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
3-Oct Mon,USD,USD ISM Manufacturing,14:00,10:00,50.40,49.40
,NZD,NZD Dairy Auction Avg. Winning Price MT,,,,"$2,975 "
,NZD,NZD Dairy Auction Whole Milk Powder MT,,,,"$2,782 "
,AUD,AUD Reserve Bank of Australia Rate Decision,03:30,23:30,1.50%,1.50%
5-Oct Wed,USD,USD ISM Non-Manufacturing Composite,14:00,10:00,53.00,51.40
7-Oct Fri,CAD,CAD Unemployment Rate,12:30,08:30,7.00%,7.00%
,CAD,CAD Net Change in Employment,12:30,08:30,7.5k,26.2k
,USD,USD Unemployment Rate,12:30,08:30,4.90%,4.90%
,USD,USD Change in Non-farm Payrolls,12:30,08:30,167k,151k
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
